1000, 0.02229, 0.005
2000, 0.01237, 0.005
3000, 0.00986, 0.005
4000, 0.00818, 0.005
5000, 0.00704, 0.005
6000, 0.00629, 0.005
7000, 0.00576, 0.005
8000, 0.00523, 0.005
9000, 0.00474, 0.005
10000, 0.00464, 0.005
11000, 0.00665, 0.02
12000, 0.00558, 0.02
13000, 0.00449, 0.02
14000, 0.00401, 0.02
15000, 0.00370, 0.02
16000, 0.00334, 0.02
17000, 0.00305, 0.02
18000, 0.00296, 0.02
19000, 0.00272, 0.02
20000, 0.00263, 0.02
21000, 0.00246, 0.02
22000, 0.00231, 0.02
23000, 0.00220, 0.02
24000, 0.00216, 0.02
25000, 0.00205, 0.02
26000, 0.00203, 0.02
27000, 0.00193, 0.02
28000, 0.00186, 0.02
29000, 0.00181, 0.02
30000, 0.00173, 0.02
31000, 0.00158, 0.02
32000, 0.00154, 0.02
33000, 0.00147, 0.02
34000, 0.00150, 0.02
35000, 0.00140, 0.02
36000, 0.00147, 0.02
37000, 0.00145, 0.02
38000, 0.00133, 0.02
39000, 0.00134, 0.02
40000, 0.00144, 0.02
41000, 0.00129, 0.02
42000, 0.00128, 0.02
43000, 0.00121, 0.02
44000, 0.00120, 0.02
45000, 0.00120, 0.02
46000, 0.00127, 0.02
47000, 0.00122, 0.02
48000, 0.00119, 0.02
49000, 0.00111, 0.02
50000, 0.00108, 0.02
51000, 0.00113, 0.02
52000, 0.00103, 0.02
53000, 0.00101, 0.02
54000, 0.00113, 0.02
55000, 0.00099, 0.02
56000, 0.00101, 0.02
57000, 0.00096, 0.02
58000, 0.00103, 0.02
59000, 0.00097, 0.02
60000, 0.00101, 0.02
61000, 0.00089, 0.02
62000, 0.00099, 0.02
63000, 0.00095, 0.02
64000, 0.00094, 0.02
65000, 0.00092, 0.02
66000, 0.00092, 0.02
67000, 0.00085, 0.02
68000, 0.00089, 0.02
69000, 0.00084, 0.02
70000, 0.00083, 0.02
